0 | Reversible reaction | Chemical reaction | proton-motive force | potential energy 
5404 | phosphatidylcholine | phospholipid | cation | ion 
5405 | ribosome | cellular structure | peroxisome | organelle 
5406 | enzyme | molecule | gated Channel | channel protein 
5406 | enzyme | molecule | gated Channel | transport membrane protein 
5407 | enzyme | organic molecule | gated Channel | channel protein 
5408 | C3 plant | organism | deoxyribose | pentose 
5408 | C3 plant | organism | deoxyribose | monosaccharide 
5408 | C3 plant | organism | deoxyribose | sugar 
5409 | C3 plant | eukaryote | deoxyribose | pentose 
5409 | C3 plant | eukaryote | deoxyribose | monosaccharide 
5410 | C3 plant | plant | deoxyribose | pentose 
5411 | hydrophilic amino acid | organic molecule | second law of thermodynamics | law of thermodynamics 
5411 | hydrophilic amino acid | organic molecule | second law of thermodynamics | scientific law 
5412 | hydrophilic amino acid | amino acid | second law of thermodynamics | law of thermodynamics 
5413 | juxtacrine | organic molecule | DNA | nucleic acid 
5413 | juxtacrine | organic molecule | DNA | organic molecule 
5413 | juxtacrine | organic molecule | DNA | polymer 
5414 | Signal transduction with testosterone | Signal transduction | Cell signaling with G-protein coupled receptor | Cell signaling with plasma membrane receptor 
5415 | glutamic acid | acidic amino acid | Control of glycolysis | Regulation 
5416 | tyrosine | polar amino acid | polar side chain | R-group 
5417 | multicellular organism | organism | margarine | fat molecule 
5418 | Golgi apparatus | cellular structure | cytochrome A3 | cytochrome 
5418 | Golgi apparatus | cellular structure | cytochrome A3 | protein 
5419 | Golgi apparatus | organelle | cytochrome A3 | cytochrome 
5420 | glycoprotein | molecule | unsaturated fatty acid | fatty acid 
5420 | glycoprotein | molecule | unsaturated fatty acid | hydrophobic compound 
5420 | glycoprotein | molecule | unsaturated fatty acid | carboxylic acid 
5421 | glycoprotein | polymer | unsaturated fatty acid | fatty acid 
5421 | glycoprotein | polymer | unsaturated fatty acid | hydrophobic compound 
5421 | glycoprotein | polymer | unsaturated fatty acid | carboxylic acid 
5422 | glycoprotein | organic molecule | unsaturated fatty acid | fatty acid 
5422 | glycoprotein | organic molecule | unsaturated fatty acid | hydrophobic compound 
5422 | glycoprotein | organic molecule | unsaturated fatty acid | carboxylic acid 
5423 | glycoprotein | amphipathic molecule | unsaturated fatty acid | fatty acid 
5424 | glycoprotein | protein | unsaturated fatty acid | fatty acid 
5425 | boron atom | atom | leucine | hydrophobic amino acid 
5425 | boron atom | atom | leucine | amino acid 
5426 | actin | water soluble protein | chemical energy | potential energy 
5426 | actin | water soluble protein | chemical energy | energy 
5427 | actin | globular protein | chemical energy | potential energy 
5428 | transferase | protein enzyme | chlorophyll A | chlorophyll 
5429 | Synthesis of amino acid | Anabolic pathway | DNA | nucleic acid 
5429 | Synthesis of amino acid | Anabolic pathway | DNA | organic molecule 
5429 | Synthesis of amino acid | Anabolic pathway | DNA | polymer 
5430 | Synthesis of ATP | Anabolic pathway | Cell signaling with Ca2 plus and IP3 and GPCR | Cell signaling with Ca2 plus and IP3 
5430 | Synthesis of ATP | Anabolic pathway | Cell signaling with Ca2 plus and IP3 and GPCR | Cell signaling with plasma membrane receptor 
5431 | plant cell | eukaryotic cell | Golgi apparatus | organelle 
5432 | plant cell | walled cell | Golgi apparatus | organelle 
5433 | animal | multicellular organism | Signal transduction with testosterone | Signal transduction 
5434 | animal | eukaryote | Signal transduction with testosterone | Signal transduction 
5435 | unsaturated fatty acid | compound | ester linkage | single bond 
5435 | unsaturated fatty acid | compound | ester linkage | polar covalent bond 
5435 | unsaturated fatty acid | compound | ester linkage | covalent bond 
5435 | unsaturated fatty acid | compound | ester linkage | chemical bond 
5436 | unsaturated fatty acid | carboxylic acid | ester linkage | single bond 
5436 | unsaturated fatty acid | carboxylic acid | ester linkage | polar covalent bond 
5436 | unsaturated fatty acid | carboxylic acid | ester linkage | covalent bond 
5437 | unsaturated fatty acid | hydrophobic compound | ester linkage | single bond 
5437 | unsaturated fatty acid | hydrophobic compound | ester linkage | polar covalent bond 
5437 | unsaturated fatty acid | hydrophobic compound | ester linkage | covalent bond 
5438 | unsaturated fatty acid | fatty acid | ester linkage | single bond 
5438 | unsaturated fatty acid | fatty acid | ester linkage | polar covalent bond 
5439 | ethyl alcohol | molecule | smooth endoplasmic reticulum | endoplasmic reticulum 
5439 | ethyl alcohol | molecule | smooth endoplasmic reticulum | organelle 
5439 | ethyl alcohol | molecule | smooth endoplasmic reticulum | cellular structure 
5440 | ethyl alcohol | organic molecule | smooth endoplasmic reticulum | endoplasmic reticulum 
5440 | ethyl alcohol | organic molecule | smooth endoplasmic reticulum | organelle 
5441 | ethyl alcohol | alcohol | smooth endoplasmic reticulum | endoplasmic reticulum 
5442 | Communication by direct contact | Cell communication | Lactic acid fermentation in muscle cell | Lactic acid fermentation 
5442 | Communication by direct contact | Cell communication | Lactic acid fermentation in muscle cell | Fermentation 
5443 | hydrophobic interaction | chemical bond | pentose | monosaccharide 
5443 | hydrophobic interaction | chemical bond | pentose | sugar 
5444 | granum | cellular structure | electromagnetic spectrum | spectrum 
5445 | Chemical work | Work | Non competitive inhibition | Inhibition 
5445 | Chemical work | Work | Non competitive inhibition | Regulation 
5446 | protein enzyme | polymer | polar amino acid | hydrophilic amino acid 
5446 | protein enzyme | polymer | polar amino acid | amino acid 
5447 | protein enzyme | organic molecule | polar amino acid | hydrophilic amino acid 
5447 | protein enzyme | organic molecule | polar amino acid | amino acid 
5448 | protein enzyme | protein | polar amino acid | hydrophilic amino acid 
5449 | protein enzyme | enzyme | polar amino acid | hydrophilic amino acid 
5450 | accessory pigment | organic molecule | C3 plant | plant 
5450 | accessory pigment | organic molecule | C3 plant | eukaryote 
5450 | accessory pigment | organic molecule | C3 plant | organism 
5451 | accessory pigment | pigment | C3 plant | plant 
5451 | accessory pigment | pigment | C3 plant | eukaryote 
5452 | lead atom | atom | oil | fat molecule 
5452 | lead atom | atom | oil | triglyceride 
5453 | nicotinamide | nitrogenous base | isomer | molecule 
5454 | chemical energy | potential energy | concentration gradient | gradient 
5455 | wax | lipid | steroid | lipid 
5456 | cytochrome | polymer | adenine | purine 
5456 | cytochrome | polymer | adenine | nitrogenous base 
5457 | cytochrome | organic molecule | adenine | purine 
5457 | cytochrome | organic molecule | adenine | nitrogenous base 
5458 | cytochrome | protein | adenine | purine 
5459 | cytochrome | polymer | second law of thermodynamics | law of thermodynamics 
5459 | cytochrome | polymer | second law of thermodynamics | scientific law 
5460 | cytochrome | organic molecule | second law of thermodynamics | law of thermodynamics 
5460 | cytochrome | organic molecule | second law of thermodynamics | scientific law 
5461 | cytochrome | protein | second law of thermodynamics | law of thermodynamics 
5462 | first law of thermodynamics | law of thermodynamics | Synthesis of fatty acid from acetyl CoA | Synthesis of fatty acid 
5463 | rough endoplasmic reticulum | organelle | vitamin | organic molecule 
5463 | rough endoplasmic reticulum | organelle | vitamin | molecule 
5464 | rough endoplasmic reticulum | endoplasmic reticulum | vitamin | organic molecule 
5465 | secondary lysosome | lysosome | helium atom | inert atom 
5466 | phosphate group | functional group | hydrophobic amino acid | amino acid 
5467 | glycosidic linkage | polar covalent bond | competitive inhibitor | enzyme inhibitor 
5468 | sunlight | radiation | chitin | structural polysaccharide 
5468 | sunlight | radiation | chitin | polysaccharide 
5468 | sunlight | radiation | chitin | carbohydrate 
5468 | sunlight | radiation | chitin | polymer 
5469 | sunlight | electromagnetic energy | chitin | structural polysaccharide 
5469 | sunlight | electromagnetic energy | chitin | polysaccharide 
5470 | sunlight | light | chitin | structural polysaccharide 
5471 | nucleolus | cellular structure | multiprotein complex-III | protein complex 
5472 | Phase contrast microscopy | Microscopy | protein | organic molecule 
5472 | Phase contrast microscopy | Microscopy | protein | polymer 
5473 | crista | cellular structure | microtubule | cellular structure 
5474 | inert atom | atom | coenzyme A | organic molecule 
5474 | inert atom | atom | coenzyme A | molecule 
5475 | granum | cellular structure | proton-motive force | potential energy 
5476 | glutamic acid | amino acid | connexon | channel protein 
5476 | glutamic acid | amino acid | connexon | transport membrane protein 
5476 | glutamic acid | amino acid | connexon | transmembrane protein 
5476 | glutamic acid | amino acid | connexon | integral protein 
5477 | glutamic acid | hydrophilic amino acid | connexon | channel protein 
5477 | glutamic acid | hydrophilic amino acid | connexon | transport membrane protein 
5477 | glutamic acid | hydrophilic amino acid | connexon | transmembrane protein 
5478 | glutamic acid | acidic amino acid | connexon | channel protein 
5479 | Signal transduction with phosphorylation cascade | Signal transduction | Signal transduction with second messenger | Signal transduction 
5480 | 3 phosphoglycerate | organic molecule | nonpolar molecule | molecule 
5480 | 3 phosphoglycerate | organic molecule | nonpolar molecule | hydrophobic compound 
5481 | desmotubule | cellular structure | alpha helix | secondary structure 
5482 | phosphofructokinase | protein | rough endoplasmic reticulum | endoplasmic reticulum 
5482 | phosphofructokinase | protein | rough endoplasmic reticulum | organelle 
5482 | phosphofructokinase | protein | rough endoplasmic reticulum | cellular structure 
5483 | phosphofructokinase | enzyme | rough endoplasmic reticulum | endoplasmic reticulum 
5483 | phosphofructokinase | enzyme | rough endoplasmic reticulum | organelle 
5483 | phosphofructokinase | enzyme | rough endoplasmic reticulum | cellular structure 
5484 | phosphofructokinase | protein enzyme | rough endoplasmic reticulum | endoplasmic reticulum 
5484 | phosphofructokinase | protein enzyme | rough endoplasmic reticulum | organelle 
5485 | phosphofructokinase | transferase | rough endoplasmic reticulum | endoplasmic reticulum 
5485 | phosphofructokinase | transferase | rough endoplasmic reticulum | organelle 
5486 | phosphofructokinase | allosteric enzyme | rough endoplasmic reticulum | endoplasmic reticulum 
5487 | eukaryotic cilium | cilium | complex ion | ion 
5488 | archaea | prokaryote | integrin | transmembrane protein 
5488 | archaea | prokaryote | integrin | receptor protein 
5489 | Condensation reaction | Endergonic process | Photosynthesis | Anabolic pathway 
5489 | Condensation reaction | Endergonic process | Photosynthesis | Endergonic reaction 
5489 | Condensation reaction | Endergonic process | Photosynthesis | Metabolic pathway 
5490 | Condensation reaction | Endergonic reaction | Photosynthesis | Anabolic pathway 
5491 | multicellular organism | organism | disulfide bond | single bond 
5491 | multicellular organism | organism | disulfide bond | nonpolar covalent bond 
5492 | third electron-shell | electron-shell | pore complex | protein complex 
5493 | nitrogen atom | atom | central vacuole | vacuole 
5493 | nitrogen atom | atom | central vacuole | organelle 
