0 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1444 | desmosome | phospholipid bilayer | proton pump | phospholipid bilayer 
1445 | gated Channel | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1446 | stroma | chloroplast | desmosome | phospholipid bilayer 
1447 | cytoplasmic protein kinase | cytoplasm | proton pump | phospholipid bilayer 
1448 | aquaporin | phospholipid bilayer | aquaporin | phospholipid bilayer 
1449 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
1450 | proton pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1451 | integrin | phospholipid bilayer | desmosome | phospholipid bilayer 
1452 | integrin | phospholipid bilayer | proton pump | phospholipid bilayer 
1453 | microfibril | transport vesicle | integrin | phospholipid bilayer 
1454 | integrin | phospholipid bilayer | tight junction | phospholipid bilayer 
1455 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1456 | aquaporin | phospholipid bilayer | proton pump | phospholipid bilayer 
1457 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
1458 | desmosome | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1459 | desmosome | phospholipid bilayer | carrier protein | phospholipid bilayer 
1460 | cytoplasmic protein kinase | cytoplasm | stroma | chloroplast 
1461 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
1462 | stroma | chloroplast | proton pump | phospholipid bilayer 
1463 | hydration shell | water | transport membrane protein | phospholipid bilayer 
1464 | ATP synthase | phospholipid bilayer | microfibril | transport vesicle 
1465 | hydration shell | water | gated Channel | phospholipid bilayer 
1466 | aquaporin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1467 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
1468 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
1469 | integral protein | phospholipid bilayer | carrier protein | phospholipid bilayer 
1470 | gated Channel | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1471 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
1472 | stroma | chloroplast | stroma | chloroplast 
1473 | aquaporin | phospholipid bilayer | proton pump | phospholipid bilayer 
1474 | aquaporin | phospholipid bilayer | integral protein | phospholipid bilayer 
1475 | cytoplasmic protein kinase | cytoplasm | cytoplasmic protein kinase | cytoplasm 
1476 | stroma | chloroplast | integrin | phospholipid bilayer 
1477 | aquaporin | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1478 | transport membrane protein | phospholipid bilayer | integrin | phospholipid bilayer 
1479 | transport membrane protein | phospholipid bilayer | aquaporin | phospholipid bilayer 
1480 | aquaporin | phospholipid bilayer | microfibril | transport vesicle 
1481 | proton pump | phospholipid bilayer | hydration shell | water 
1482 | ATP synthase | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1483 | integral protein | phospholipid bilayer | hydration shell | water 
1484 | transport membrane protein | phospholipid bilayer | proton pump | phospholipid bilayer 
1485 | sodium-potassium pump | phospholipid bilayer | aquaporin | phospholipid bilayer 
1486 | carrier protein | phospholipid bilayer | stroma | chloroplast 
1487 | desmosome | phospholipid bilayer | aquaporin | phospholipid bilayer 
1488 | proton pump | phospholipid bilayer | microfibril | transport vesicle 
1489 | carrier protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
1490 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
1491 | aquaporin | phospholipid bilayer | integrin | phospholipid bilayer 
1492 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
1493 | proton pump | phospholipid bilayer | proton pump | phospholipid bilayer 
1494 | stroma | chloroplast | proton pump | phospholipid bilayer 
1495 | sodium-potassium pump | phospholipid bilayer | stroma | chloroplast 
1496 | stroma | chloroplast | microfibril | transport vesicle 
1497 | gated Channel | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1498 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
1499 | tight junction | phospholipid bilayer | microfibril | transport vesicle 
1500 | desmosome | phospholipid bilayer | gated Channel | phospholipid bilayer 
1501 | aquaporin | phospholipid bilayer | carrier protein | phospholipid bilayer 
1502 | transport membrane protein | phospholipid bilayer | tight junction | phospholipid bilayer 
1503 | integral protein | phospholipid bilayer | integrin | phospholipid bilayer 
1504 | carrier protein | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1505 | aquaporin | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1506 | proton pump | phospholipid bilayer | gated Channel | phospholipid bilayer 
1507 | desmosome | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1508 | proton pump | phospholipid bilayer | integral protein | phospholipid bilayer 
1509 | carrier protein | phospholipid bilayer | proton pump | phospholipid bilayer 
1510 | aquaporin | phospholipid bilayer | stroma | chloroplast 
1511 | sodium-potassium pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
1512 | desmosome | phospholipid bilayer | desmosome | phospholipid bilayer 
1513 | desmosome | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1514 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
1515 | stroma | chloroplast | hydration shell | water 
1516 | desmosome | phospholipid bilayer | proton pump | phospholipid bilayer 
1517 | tight junction | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1518 | ATP synthase | phospholipid bilayer | integrin | phospholipid bilayer 
1519 | tight junction | phospholipid bilayer | microfibril | transport vesicle 
1520 | proton pump | phospholipid bilayer | carrier protein | phospholipid bilayer 
1521 | microfibril | transport vesicle | aquaporin | phospholipid bilayer 
1522 | microfibril | transport vesicle | proton pump | phospholipid bilayer 
1523 | proton pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1524 | hydration shell | water | hydration shell | water 
1525 | carrier protein | phospholipid bilayer | tight junction | phospholipid bilayer 
1526 | stroma | chloroplast | proton pump | phospholipid bilayer 
1527 | integrin | phospholipid bilayer | gated Channel | phospholipid bilayer 
1528 | stroma | chloroplast | aquaporin | phospholipid bilayer 
1529 | desmosome | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1530 | proton pump | phospholipid bilayer | tight junction | phospholipid bilayer 
1531 | sodium-potassium pump | phospholipid bilayer | integral protein | phospholipid bilayer 
1532 | aquaporin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1533 | microfibril | transport vesicle | tight junction | phospholipid bilayer 
1534 | tight junction | phospholipid bilayer | tight junction | phospholipid bilayer 
1535 | integral protein | phospholipid bilayer | microfibril | transport vesicle 
1536 | cytoplasmic protein kinase | cytoplasm | sodium-potassium pump | phospholipid bilayer 
1537 | ATP synthase | phospholipid bilayer | proton pump | phospholipid bilayer 
1538 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
1539 | carrier protein | phospholipid bilayer | hydration shell | water 
1540 | desmosome | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1541 | gated Channel | phospholipid bilayer | integrin | phospholipid bilayer 
1542 | proton pump | phospholipid bilayer | stroma | chloroplast 
1543 | microfibril | transport vesicle | desmosome | phospholipid bilayer 
1544 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
1545 | integrin | phospholipid bilayer | proton pump | phospholipid bilayer 
1546 | gated Channel | phospholipid bilayer | aquaporin | phospholipid bilayer 
1547 | carrier protein | phospholipid bilayer | gated Channel | phospholipid bilayer 
1548 | aquaporin | phospholipid bilayer | integral protein | phospholipid bilayer 
1549 | microfibril | transport vesicle | sodium-potassium pump | phospholipid bilayer 
1550 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
1551 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
1552 | ATP synthase | phospholipid bilayer | proton pump | phospholipid bilayer 
1553 | hydration shell | water | carrier protein | phospholipid bilayer 
1554 | stroma | chloroplast | integrin | phospholipid bilayer 
1555 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
1556 | integrin | phospholipid bilayer | carrier protein | phospholipid bilayer 
1557 | tight junction | phospholipid bilayer | aquaporin | phospholipid bilayer 
1558 | microfibril | transport vesicle | aquaporin | phospholipid bilayer 
1559 | sodium-potassium pump | phospholipid bilayer | desmosome | phospholipid bilayer 
1560 | integrin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1561 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
1562 | gated Channel | phospholipid bilayer | gated Channel | phospholipid bilayer 
1563 | microfibril | transport vesicle | integrin | phospholipid bilayer 
1564 | ATP synthase | phospholipid bilayer | gated Channel | phospholipid bilayer 
1565 | sodium-potassium pump | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1566 | integral protein | phospholipid bilayer | tight junction | phospholipid bilayer 
1567 | integral protein | phospholipid bilayer | hydration shell | water 
1568 | carrier protein | phospholipid bilayer | integral protein | phospholipid bilayer 
1569 | desmosome | phospholipid bilayer | stroma | chloroplast 
1570 | stroma | chloroplast | microfibril | transport vesicle 
1571 | tight junction | phospholipid bilayer | desmosome | phospholipid bilayer 
1572 | gated Channel | phospholipid bilayer | integrin | phospholipid bilayer 
1573 | hydration shell | water | desmosome | phospholipid bilayer 
1574 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1575 | stroma | chloroplast | ATP synthase | phospholipid bilayer 
1576 | stroma | chloroplast | transport membrane protein | phospholipid bilayer 
1577 | microfibril | transport vesicle | carrier protein | phospholipid bilayer 
1578 | aquaporin | phospholipid bilayer | microfibril | transport vesicle 
1579 | microfibril | transport vesicle | stroma | chloroplast 
1580 | gated Channel | phospholipid bilayer | hydration shell | water 
1581 | gated Channel | phospholipid bilayer | sodium-potassium pump | phospholipid bilayer 
1582 | cytoplasmic protein kinase | cytoplasm | hydration shell | water 
1583 | cytoplasmic protein kinase | cytoplasm | carrier protein | phospholipid bilayer 
1584 | stroma | chloroplast | integrin | phospholipid bilayer 
1585 | carrier protein | phospholipid bilayer | cytoplasmic protein kinase | cytoplasm 
1586 | aquaporin | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1587 | cytoplasmic protein kinase | cytoplasm | carrier protein | phospholipid bilayer 
1588 | integral protein | phospholipid bilayer | proton pump | phospholipid bilayer 
1589 | microfibril | transport vesicle | stroma | chloroplast 
1590 | ATP synthase | phospholipid bilayer | desmosome | phospholipid bilayer 
1591 | microfibril | transport vesicle | cytoplasmic protein kinase | cytoplasm 
1592 | gated Channel | phospholipid bilayer | transport membrane protein | phospholipid bilayer 
1593 | transport membrane protein | phospholipid bilayer | integral protein | phospholipid bilayer 
1594 | ATP synthase | phospholipid bilayer | tight junction | phospholipid bilayer 
1595 | proton pump | phospholipid bilayer | ATP synthase | phospholipid bilayer 
1596 | stroma | chloroplast | integral protein | phospholipid bilayer 
1597 | gated Channel | phospholipid bilayer | desmosome | phospholipid bilayer 
1598 | cytoplasmic protein kinase | cytoplasm | ATP synthase | phospholipid bilayer 
