0 | CAM plant | Starch storage by plant | thylakoid | Light reaction 
2447 | CAM plant | Crassulacean acid metabolism | carbon 14 atom | Radioactivity 
2449 | cellulose | Adhesion | cytoplasmic protein kinase | Phosphorylation 
2450 | smooth endoplasmic reticulum | Metabolism | ribonuclease | Hydrolysis 
2453 | rough endoplasmic reticulum | Metabolism | plant | Starch storage by plant 
2453 | rough endoplasmic reticulum | Metabolism | plant | Photosynthesis 
2459 | rough endoplasmic reticulum | Metabolism | ribonuclease | Hydrolysis 
2461 | cellulose | Adhesion | ATP synthase | Facilitated diffusion 
2461 | cellulose | Adhesion | ATP synthase | Synthesis of ATP 
2462 | rough endoplasmic reticulum | Metabolism | lysosome | Intracellular digestion 
2462 | rough endoplasmic reticulum | Metabolism | lysosome | Autophagy 
2464 | ribonuclease | Hydrolysis | pepsin | Hydrolysis 
2465 | ATP synthase | Facilitated diffusion | thylakoid | Light reaction 
2466 | ATP synthase | Synthesis of ATP | thylakoid | Light reaction 
2470 | carbon 14 atom | Radioactivity | plant | Starch storage by plant 
2470 | carbon 14 atom | Radioactivity | plant | Photosynthesis 
2472 | PEP carboxylase | Carbon fixation | pepsin | Hydrolysis 
2473 | pepsin | Hydrolysis | thylakoid | Light reaction 
2477 | cotransporter | Cotransport | radioactive isotope | Radioactivity 
2478 | cotransporter | Exergonic process | radioactive isotope | Radioactivity 
2485 | macrophage | Phagocytosis | C4 plant | C4-photosynthesis 
2485 | macrophage | Phagocytosis | C4 plant | Starch storage by plant 
2494 | chloroplast | Photosynthesis | ATP synthase | Facilitated diffusion 
2494 | chloroplast | Photosynthesis | ATP synthase | Synthesis of ATP 
2495 | phosphofructokinase | Phosphorylation | C4 plant | C4-photosynthesis 
2495 | phosphofructokinase | Phosphorylation | C4 plant | Starch storage by plant 
2498 | cellulose | Adhesion | radioactive isotope | Radioactivity 
2499 | radioactive isotope | Radioactivity | lysosome | Intracellular digestion 
2499 | radioactive isotope | Radioactivity | lysosome | Autophagy 
2502 | pepsin | Hydrolysis | lysosome | Intracellular digestion 
2502 | pepsin | Hydrolysis | lysosome | Autophagy 
2504 | lysosomal enzyme | Hydrolysis | plant | Starch storage by plant 
2504 | lysosomal enzyme | Hydrolysis | plant | Photosynthesis 
2508 | cotransporter | Cotransport | lysosome | Intracellular digestion 
2508 | cotransporter | Cotransport | lysosome | Autophagy 
2509 | cotransporter | Exergonic process | lysosome | Intracellular digestion 
2509 | cotransporter | Exergonic process | lysosome | Autophagy 
2515 | mitochondrion | Eukaryotic oxidative phosphorylation | pepsin | Hydrolysis 
2516 | mitochondrion | Eukaryotic pyruvate oxidation | pepsin | Hydrolysis 
2517 | radioactive isotope | Radioactivity | carbon 14 atom | Radioactivity 
2531 | dynein | Dynein walking | ribonuclease | Hydrolysis 
2532 | carbon 14 atom | Radioactivity | CAM plant | Starch storage by plant 
2532 | carbon 14 atom | Radioactivity | CAM plant | Crassulacean acid metabolism 
2535 | lysosomal enzyme | Hydrolysis | C4 plant | C4-photosynthesis 
2535 | lysosomal enzyme | Hydrolysis | C4 plant | Starch storage by plant 
2538 | dynein | Dynein walking | carbon 14 atom | Radioactivity 
2544 | cellulose | Adhesion | plant | Starch storage by plant 
2544 | cellulose | Adhesion | plant | Photosynthesis 
2545 | cotransporter | Cotransport | carbon 14 atom | Radioactivity 
2546 | cotransporter | Exergonic process | carbon 14 atom | Radioactivity 
2548 | phosphofructokinase | Phosphorylation | ATP synthase | Facilitated diffusion 
2548 | phosphofructokinase | Phosphorylation | ATP synthase | Synthesis of ATP 
2551 | smooth endoplasmic reticulum | Metabolism | cytoplasmic protein kinase | Phosphorylation 
2552 | lysosome | Intracellular digestion | CAM plant | Starch storage by plant 
2552 | lysosome | Intracellular digestion | CAM plant | Crassulacean acid metabolism 
2553 | lysosome | Autophagy | CAM plant | Starch storage by plant 
2553 | lysosome | Autophagy | CAM plant | Crassulacean acid metabolism 
2559 | C4 plant | C4-photosynthesis | carbon 14 atom | Radioactivity 
2560 | C4 plant | Starch storage by plant | carbon 14 atom | Radioactivity 
2561 | pepsin | Hydrolysis | thylakoid | Light reaction 
2567 | smooth endoplasmic reticulum | Metabolism | lysosome | Intracellular digestion 
2567 | smooth endoplasmic reticulum | Metabolism | lysosome | Autophagy 
2568 | transport membrane protein | Facilitated diffusion | ATP synthase | Facilitated diffusion 
2568 | transport membrane protein | Facilitated diffusion | ATP synthase | Synthesis of ATP 
2574 | mitochondrion | Eukaryotic oxidative phosphorylation | ATP synthase | Facilitated diffusion 
2574 | mitochondrion | Eukaryotic oxidative phosphorylation | ATP synthase | Synthesis of ATP 
2575 | mitochondrion | Eukaryotic pyruvate oxidation | ATP synthase | Facilitated diffusion 
2575 | mitochondrion | Eukaryotic pyruvate oxidation | ATP synthase | Synthesis of ATP 
2577 | phosphofructokinase | Phosphorylation | cytoplasmic protein kinase | Phosphorylation 
2581 | transport membrane protein | Facilitated diffusion | plant | Starch storage by plant 
2581 | transport membrane protein | Facilitated diffusion | plant | Photosynthesis 
2585 | cellulose | Adhesion | lysosome | Intracellular digestion 
2585 | cellulose | Adhesion | lysosome | Autophagy 
2592 | cytoplasmic protein kinase | Phosphorylation | radioactive isotope | Radioactivity 
2594 | smooth endoplasmic reticulum | Metabolism | radioactive isotope | Radioactivity 
2597 | transport membrane protein | Facilitated diffusion | ATP synthase | Facilitated diffusion 
2597 | transport membrane protein | Facilitated diffusion | ATP synthase | Synthesis of ATP 
2603 | thylakoid | Light reaction | cytoplasmic protein kinase | Phosphorylation 
2604 | transport membrane protein | Facilitated diffusion | ATP synthase | Facilitated diffusion 
2604 | transport membrane protein | Facilitated diffusion | ATP synthase | Synthesis of ATP 
2611 | rough endoplasmic reticulum | Metabolism | pepsin | Hydrolysis 
2622 | mitochondrion | Eukaryotic oxidative phosphorylation | C4 plant | C4-photosynthesis 
2622 | mitochondrion | Eukaryotic oxidative phosphorylation | C4 plant | Starch storage by plant 
2623 | mitochondrion | Eukaryotic pyruvate oxidation | C4 plant | C4-photosynthesis 
2623 | mitochondrion | Eukaryotic pyruvate oxidation | C4 plant | Starch storage by plant 
2628 | ATP synthase | Facilitated diffusion | pepsin | Hydrolysis 
2629 | ATP synthase | Synthesis of ATP | pepsin | Hydrolysis 
2630 | ribonuclease | Hydrolysis | carbon 14 atom | Radioactivity 
2631 | chloroplast | Photosynthesis | radioactive isotope | Radioactivity 
2644 | carbon 14 atom | Radioactivity | CAM plant | Starch storage by plant 
2644 | carbon 14 atom | Radioactivity | CAM plant | Crassulacean acid metabolism 
2656 | CAM plant | Starch storage by plant | C4 plant | C4-photosynthesis 
2656 | CAM plant | Starch storage by plant | C4 plant | Starch storage by plant 
2657 | CAM plant | Crassulacean acid metabolism | C4 plant | C4-photosynthesis 
2657 | CAM plant | Crassulacean acid metabolism | C4 plant | Starch storage by plant 
2658 | macrophage | Phagocytosis | plant | Starch storage by plant 
2658 | macrophage | Phagocytosis | plant | Photosynthesis 
2664 | C3 plant | Starch storage by plant | radioactive isotope | Radioactivity 
2667 | cotransporter | Cotransport | radioactive isotope | Radioactivity 
2668 | cotransporter | Exergonic process | radioactive isotope | Radioactivity 
2675 | ribonuclease | Hydrolysis | ATP synthase | Facilitated diffusion 
2675 | ribonuclease | Hydrolysis | ATP synthase | Synthesis of ATP 
2679 | thylakoid | Light reaction | radioactive isotope | Radioactivity 
2680 | chloroplast | Photosynthesis | radioactive isotope | Radioactivity 
2685 | ribonuclease | Hydrolysis | pepsin | Hydrolysis 
2687 | smooth endoplasmic reticulum | Metabolism | pepsin | Hydrolysis 
2689 | lysosomal enzyme | Hydrolysis | CAM plant | Starch storage by plant 
2689 | lysosomal enzyme | Hydrolysis | CAM plant | Crassulacean acid metabolism 
2690 | transport membrane protein | Facilitated diffusion | plant | Starch storage by plant 
2690 | transport membrane protein | Facilitated diffusion | plant | Photosynthesis 
2700 | cytoplasmic protein kinase | Phosphorylation | pepsin | Hydrolysis 
2701 | mitochondrion | Eukaryotic oxidative phosphorylation | radioactive isotope | Radioactivity 
2702 | mitochondrion | Eukaryotic pyruvate oxidation | radioactive isotope | Radioactivity 
2704 | thylakoid | Light reaction | CAM plant | Starch storage by plant 
2704 | thylakoid | Light reaction | CAM plant | Crassulacean acid metabolism 
2705 | plant | Starch storage by plant | ATP synthase | Facilitated diffusion 
2705 | plant | Starch storage by plant | ATP synthase | Synthesis of ATP 
2706 | plant | Photosynthesis | ATP synthase | Facilitated diffusion 
2706 | plant | Photosynthesis | ATP synthase | Synthesis of ATP 
2715 | carbon 14 atom | Radioactivity | cytoplasmic protein kinase | Phosphorylation 
2717 | lysosomal enzyme | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
2718 | radioactive isotope | Radioactivity | pepsin | Hydrolysis 
2719 | smooth endoplasmic reticulum | Metabolism | ribonuclease | Hydrolysis 
2720 | carbon 14 atom | Radioactivity | CAM plant | Starch storage by plant 
2720 | carbon 14 atom | Radioactivity | CAM plant | Crassulacean acid metabolism 
2728 | rough endoplasmic reticulum | Metabolism | lysosome | Intracellular digestion 
2728 | rough endoplasmic reticulum | Metabolism | lysosome | Autophagy 
2740 | PEP carboxylase | Carbon fixation | ATP synthase | Facilitated diffusion 
2740 | PEP carboxylase | Carbon fixation | ATP synthase | Synthesis of ATP 
2741 | mitochondrion | Eukaryotic oxidative phosphorylation | pepsin | Hydrolysis 
2742 | mitochondrion | Eukaryotic pyruvate oxidation | pepsin | Hydrolysis 
2743 | pepsin | Hydrolysis | C4 plant | C4-photosynthesis 
2743 | pepsin | Hydrolysis | C4 plant | Starch storage by plant 
2745 | plant | Starch storage by plant | pepsin | Hydrolysis 
2746 | plant | Photosynthesis | pepsin | Hydrolysis 
2747 | C3 plant | Starch storage by plant | C4 plant | C4-photosynthesis 
2747 | C3 plant | Starch storage by plant | C4 plant | Starch storage by plant 
2750 | cotransporter | Cotransport | pepsin | Hydrolysis 
2751 | cotransporter | Exergonic process | pepsin | Hydrolysis 
2753 | ribonuclease | Hydrolysis | lysosome | Intracellular digestion 
2753 | ribonuclease | Hydrolysis | lysosome | Autophagy 
2759 | C4 plant | C4-photosynthesis | CAM plant | Starch storage by plant 
2759 | C4 plant | C4-photosynthesis | CAM plant | Crassulacean acid metabolism 
2760 | C4 plant | Starch storage by plant | CAM plant | Starch storage by plant 
2760 | C4 plant | Starch storage by plant | CAM plant | Crassulacean acid metabolism 
2762 | phosphofructokinase | Phosphorylation | pepsin | Hydrolysis 
2764 | C4 plant | C4-photosynthesis | pepsin | Hydrolysis 
2765 | C4 plant | Starch storage by plant | pepsin | Hydrolysis 
2769 | CAM plant | Starch storage by plant | cytoplasmic protein kinase | Phosphorylation 
2770 | CAM plant | Crassulacean acid metabolism | cytoplasmic protein kinase | Phosphorylation 
2778 | carbon 14 atom | Radioactivity | thylakoid | Light reaction 
2780 | ribonuclease | Hydrolysis | ATP synthase | Facilitated diffusion 
2780 | ribonuclease | Hydrolysis | ATP synthase | Synthesis of ATP 
2781 | lysosomal enzyme | Hydrolysis | ATP synthase | Facilitated diffusion 
2781 | lysosomal enzyme | Hydrolysis | ATP synthase | Synthesis of ATP 
2783 | pepsin | Hydrolysis | cytoplasmic protein kinase | Phosphorylation 
2784 | smooth endoplasmic reticulum | Metabolism | C4 plant | C4-photosynthesis 
2784 | smooth endoplasmic reticulum | Metabolism | C4 plant | Starch storage by plant 
2786 | chloroplast | Photosynthesis | C4 plant | C4-photosynthesis 
2786 | chloroplast | Photosynthesis | C4 plant | Starch storage by plant 
2790 | macrophage | Phagocytosis | lysosome | Intracellular digestion 
2790 | macrophage | Phagocytosis | lysosome | Autophagy 
2792 | transport membrane protein | Facilitated diffusion | lysosome | Intracellular digestion 
2792 | transport membrane protein | Facilitated diffusion | lysosome | Autophagy 
2795 | pepsin | Hydrolysis | ATP synthase | Facilitated diffusion 
2795 | pepsin | Hydrolysis | ATP synthase | Synthesis of ATP 
2803 | lysosomal enzyme | Hydrolysis | pepsin | Hydrolysis 
2813 | ATP synthase | Facilitated diffusion | lysosome | Intracellular digestion 
2813 | ATP synthase | Facilitated diffusion | lysosome | Autophagy 
2814 | ATP synthase | Synthesis of ATP | lysosome | Intracellular digestion 
2814 | ATP synthase | Synthesis of ATP | lysosome | Autophagy 
2819 | ATP synthase | Facilitated diffusion | carbon 14 atom | Radioactivity 
2820 | ATP synthase | Synthesis of ATP | carbon 14 atom | Radioactivity 
2826 | mitochondrion | Eukaryotic oxidative phosphorylation | ATP synthase | Facilitated diffusion 
2826 | mitochondrion | Eukaryotic oxidative phosphorylation | ATP synthase | Synthesis of ATP 
2827 | mitochondrion | Eukaryotic pyruvate oxidation | ATP synthase | Facilitated diffusion 
2827 | mitochondrion | Eukaryotic pyruvate oxidation | ATP synthase | Synthesis of ATP 
2828 | plant | Starch storage by plant | radioactive isotope | Radioactivity 
2829 | plant | Photosynthesis | radioactive isotope | Radioactivity 
2836 | ribonuclease | Hydrolysis | plant | Starch storage by plant 
2836 | ribonuclease | Hydrolysis | plant | Photosynthesis 
2840 | cotransporter | Cotransport | cytoplasmic protein kinase | Phosphorylation 
2841 | cotransporter | Exergonic process | cytoplasmic protein kinase | Phosphorylation 
2842 | mitochondrion | Eukaryotic oxidative phosphorylation | ATP synthase | Facilitated diffusion 
2842 | mitochondrion | Eukaryotic oxidative phosphorylation | ATP synthase | Synthesis of ATP 
2843 | mitochondrion | Eukaryotic pyruvate oxidation | ATP synthase | Facilitated diffusion 
2843 | mitochondrion | Eukaryotic pyruvate oxidation | ATP synthase | Synthesis of ATP 
2848 | ribonuclease | Hydrolysis | plant | Starch storage by plant 
2848 | ribonuclease | Hydrolysis | plant | Photosynthesis 
2850 | lysosomal enzyme | Hydrolysis | ribonuclease | Hydrolysis 
2852 | cotransporter | Cotransport | ATP synthase | Facilitated diffusion 
2852 | cotransporter | Cotransport | ATP synthase | Synthesis of ATP 
2853 | cotransporter | Exergonic process | ATP synthase | Facilitated diffusion 
2853 | cotransporter | Exergonic process | ATP synthase | Synthesis of ATP 
2856 | cytoplasmic protein kinase | Phosphorylation | lysosome | Intracellular digestion 
2856 | cytoplasmic protein kinase | Phosphorylation | lysosome | Autophagy 
2869 | dynein | Dynein walking | pepsin | Hydrolysis 
2870 | carbon 14 atom | Radioactivity | thylakoid | Light reaction 
2873 | ATP synthase | Facilitated diffusion | ribonuclease | Hydrolysis 
2874 | ATP synthase | Synthesis of ATP | ribonuclease | Hydrolysis 
